X,SRR33750934_contigs_filtered_1500bp.fasta,SRR33750935_contigs_filtered_1500bp.fasta,SRR33750936_contigs_filtered_1500bp.fasta,SRR33750937_contigs_filtered_1500bp.fasta,SRR33750938_contigs_filtered_1500bp.fasta,SRR33750940_contigs_filtered_1500bp.fasta,SRR33750943_contigs_filtered_1500bp.fasta,SRR33750947_contigs_filtered_1500bp.fasta,SRR33750950_contigs_filtered_1500bp.fasta,SRR33750951_contigs_filtered_1500bp.fasta,SRR33750952_contigs_filtered_1500bp.fasta,SRR33750956_contigs_filtered_1500bp.fasta,SRR33750957_contigs_filtered_1500bp.fasta,SRR33750958_contigs_filtered_1500bp.fasta,SRR33750959_contigs_filtered_1500bp.fasta,
iron_aquisition-iron_transport,10,0,2,32,8,0,4,6,6,17,20,22,14,6,4,
iron_aquisition-heme_transport,0,2,0,1,0,1,1,1,0,1,3,1,1,1,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport,8,4,3,26,8,9,7,16,10,20,42,20,25,4,7,
iron_aquisition-siderophore_transport_potential,7,14,10,25,19,8,5,29,18,35,39,41,26,10,14,
iron_gene_regulation,34,15,21,145,66,22,35,96,75,144,192,109,112,40,37,
iron_oxidation,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,
iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_storage,14,7,3,28,14,8,12,22,19,32,27,22,19,9,10,
magnetosome_formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
